gene,alias,gene_group,cell_type,pathway,tme_subtype,prognostic_significance,source_article,provenance,is_housekeeping
AICDA,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CCND2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CDK4,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CENPF,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
GINS2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MCM2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MCM6,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MKI67,Ki-67,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MYBL1,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
PCNA,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
RRM2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
TOP2A,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
TYMS,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
UBE2C,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
BCL2,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CD79A,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CD83,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CXCR4,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
FAS,CD95,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
FCER2,CD23,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IGHD,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IGHM,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IRF4,MUM1,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
PRDM1,BLIMP1,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CXCL10,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CXCL11,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CXCL9,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IFI16,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IFI27,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IFI44,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IFIT1,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IFIT3,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
ISG15,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MX1,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
OAS1,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
STAT1,,FL2025_C3_inflammatory,none,interferon,inflammatory,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
BCL2,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
BCL6,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
CCL3,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
CCND2,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
CDKN2A,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
FN1,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
LMO2,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
LRMP,,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
MKI67,Ki-67,FL_PFS_signature_2019,none,none,none,adverse (PFS),"Pastore et al. 2019, PMID 29475724",repo_panel,False
BCL2,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
CCND3,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
CREBBP,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
EP300,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
EZH2,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
FOXO1,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
KMT2D,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
TNFRSF14,,FL_POD24_markers,none,epigenetic,none,adverse (POD24),"Pastore et al. 2019, PMID 29475724",repo_panel,False
CD19,,clinical_IHC_B_cell,B cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD22,,clinical_IHC_B_cell,B cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD79A,,clinical_IHC_B_cell,B cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD79B,,clinical_IHC_B_cell,B cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
MS4A1,CD20,clinical_IHC_B_cell,B cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
PAX5,,clinical_IHC_B_cell,B cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
BCL2,,clinical_IHC_GC_B_cell,germinal centre B,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
BCL6,,clinical_IHC_GC_B_cell,germinal centre B,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
GCSAM,HGAL,clinical_IHC_GC_B_cell,germinal centre B,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
LMO2,,clinical_IHC_GC_B_cell,germinal centre B,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
MME,CD10,clinical_IHC_GC_B_cell,germinal centre B,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD2,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD3D,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD3E,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD3G,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD4,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD5,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD7,,clinical_IHC_T_cell,CD4 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD8A,,clinical_IHC_T_cell_cytotoxic,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD8B,,clinical_IHC_T_cell_cytotoxic,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD274,PD-L1,clinical_IHC_checkpoint,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
FOXP3,,clinical_IHC_checkpoint,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
IDO1,,clinical_IHC_checkpoint,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
LAG3,,clinical_IHC_checkpoint,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
PDCD1,PD-1,clinical_IHC_checkpoint,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
TNFRSF9,CD137,clinical_IHC_checkpoint,CD8 T,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CR2,CD21,clinical_IHC_follicular_stroma,follicular dendritic,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
FCER2,CD23,clinical_IHC_follicular_stroma,follicular dendritic,none,GC-like,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD163,,clinical_IHC_myeloid,macrophage,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
CD68,,clinical_IHC_myeloid,macrophage,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
PTPRC,CD45,clinical_IHC_myeloid,macrophage,none,inflammatory,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
IRF4,MUM1,clinical_IHC_post_GC,plasma cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
MZB1,,clinical_IHC_post_GC,plasma cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
PRDM1,BLIMP1,clinical_IHC_post_GC,plasma cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
XBP1,,clinical_IHC_post_GC,plasma cell,none,none,none,Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
MKI67,Ki-67,clinical_IHC_proliferation,none,proliferation,none,"adverse (OS, PFS)",Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
MYC,,clinical_IHC_proliferation,none,proliferation,none,"adverse (OS, PFS)",Routine diagnostic immunohistochemistry panel (WHO B-cell lymphoma criteria),article_text,False
ANLN,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
APOBEC3B,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
ASPM,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
ATP5S,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
ATP8B3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
BCL2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
BHLHE41,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
BMP3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
C17orf57,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
C1orf115,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
CASP1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
CCND2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
CDK1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
CENPE,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
CENPF,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
CYTH4,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
DEPDC1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
DHRS9,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
DLGAP5,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
EGOT,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
EGR3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
ELOVL6,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
ENTPD1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
FCRL5,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
FRZB,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
GABARAPL1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
GABARAPL3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
GAS2L3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
HLA-DQA1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
HLA-DQB1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
HRK,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
IQSEC1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
IRF4,MUM1,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
KANK2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
KIF14,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
KIF18A,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
KIF20A,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
LOC100506844,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
LOC100507718,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
LOC100509457,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
LOC157740,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
LRRK2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
MLL,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
MPEG1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
NDE1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
NEK2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
NFKB2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
NFRKB,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PARP15,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PDE8B,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PEG10,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PIF1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PLK4,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PMEPA1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
POU2AF1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PPAPDC1B,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PRDM1,BLIMP1,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PRKAR2B,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
PRO1483,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
RHOBTB3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
SKI,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
SLAMF1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
SLAMF7,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
SLC41A2,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
SMAD1,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
SNX9,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
TOP2A,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
WASF3,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
WNT2B,,dybkaer_centroblast_DZ,centroblast (DZ),proliferation,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
ACTN2,,dybkaer_centrocyte_LZ,centrocyte (LZ),none,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
BAIAP2L1,,dybkaer_centrocyte_LZ,centrocyte (LZ),none,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
BCL2A1,,dybkaer_centrocyte_LZ,centrocyte (LZ),none,none,none,"Dybkaer et al. 2015 J Clin Oncol 33(12):1379-1388, PMC4397280",dybkaer_table_ds1,False
